Line,Area,Equipment Type,Equipment
164D Line,Door,CO2 ,CO2 3
164D Line,Door,PLC Jig,WFH
164D Line,Door,PLC Jig,WFE LH
164D Line,Door,PLC Jig,WFE RH
164D Line,Door,PLC Jig,WRE RH
164D Line,Door,PLC Jig,WRE LH
164D Line,Door,Pneumatic Jig,WHF
164D Line,Door,Pneumatic Jig,WEA RH
164D Line,Door,Pneumatic Jig,WEA LH
164D Line,Door,Pneumatic Jig,WFF RH
164D Line,Door,Pneumatic Jig,WFF LH
164D Line,Door,Pneumatic Jig,WRE/ WRG RH
164D Line,Door,Pneumatic Jig,WRE/ WRG LH
164D Line,Door,Sealer Pump,SP 01
164D Line,Door,Sealer Pump,SP 02
164D Line,Door,Spot Welding System,PSWS 57
164D Line,Door,Spot Welding System,PSWS 58
164D Line,Door,Spot Welding System,PSWS 59
164D Line,Door,Spot Welding System,PSWS 60
164D Line,Door,Spot Welding System,PSWS 61
164D Line,Door,Spot Welding System,PSWS 62
164D Line,Door,Spot Welding System,PSWS 63
164D Line,Door,Spot Welding System,PSWS 64
164D Line,Door,Spot Welding System,PSWS 65
164D Line,Door,Spot Welding System,PSWS 66
164D Line,Door,Spot Welding System,PSWS 67
164D Line,Door,Spot Welding System,PSWS 68
164D Line,Door,Roller Hemming Robot,Robot (2-1)
164D Line,Door,Roller Hemming Robot,Robot (4-1)
164D Line,Door,Roller Hemming Robot,Robot (3-1)
164D Line,Door,Roller Hemming Robot,Robot (3-2)
164D Line,Door,Roller Hemming Robot,Robot (3-3)
164D Line,Door,Roller Hemming Robot,Robot (3-4)
164D Line,Door,Other,Other
164D Line,Main Body and UBA,CO2,CO2 4
164D Line,Main Body and UBA,CO2,CO2 5
164D Line,Main Body and UBA,Hoist,H 15
164D Line,Main Body and UBA,Hoist,H 16
164D Line,Main Body and UBA,Manual Jig,MRA
164D Line,Main Body and UBA,M-Tack,M Tack
164D Line,Main Body and UBA,Pneumatic Jig,UBA
164D Line,Main Body and UBA,Sealer Pump,SP 4
164D Line,Main Body and UBA,Spot Welding System,PSWS 97
164D Line,Main Body and UBA,Spot Welding System,PSWS 98
164D Line,Main Body and UBA,Spot Welding System,PSWS 99
164D Line,Main Body and UBA,Spot Welding System,PSWS 100
164D Line,Main Body and UBA,Spot Welding System,PSWS 101
164D Line,Main Body and UBA,Spot Welding System,PSWS 102
164D Line,Main Body and UBA,Spot Welding System,PSWS 103
164D Line,Main Body and UBA,Spot Welding System,PSWS 104
164D Line,Main Body and UBA,Spot Welding System,PSWS 105
164D Line,Main Body and UBA,Spot Welding System,PSWS 106
164D Line,Main Body and UBA,Spot Welding System,PSWS 107
164D Line,Main Body and UBA,Spot Welding System,PSWS 108
164D Line,Main Body and UBA,Spot Welding System,PSWS 109
164D Line,Main Body and UBA,Spot Welding System,PSWS 110
164D Line,Main Body and UBA,Spot Welding System,PSWS 111
164D Line,Main Body and UBA,Spot Welding System,PSWS 112
164D Line,Main Body and UBA,Spot Welding System,PSWS 113
164D Line,Main Body and UBA,Spot Welding System,PSWS 114
164D Line,Main Body and UBA,Spot Welding System,PSWS 115
164D Line,Main Body and UBA,Spot Welding System,PSWS 116
164D Line,Main Body and UBA,Spot Welding System,PSWS 117
164D Line,Main Body and UBA,Spot Welding System,PSWS 118
164D Line,Main Body and UBA,Spot Welding System,PSWS 119
164D Line,Main Body and UBA,Spot Welding System,PSWS 120
164D Line,Main Body and UBA,Spot Welding System,PSWS 121
164D Line,Main Body and UBA,Spot Welding System,PSWS 122
164D Line,Main Body and UBA,Other,Other
164D Line,Side Member RH/ LH,Hoist ,H 11
164D Line,Side Member RH/ LH,Hoist ,H 12
164D Line,Side Member RH/ LH,Hoist ,H 13
164D Line,Side Member RH/ LH,Hoist ,H 14
164D Line,Side Member RH/ LH,PLC Jig,SWC LH
164D Line,Side Member RH/ LH,PLC Jig,SMA RH
164D Line,Side Member RH/ LH,PLC Jig,SMA LH
164D Line,Side Member RH/ LH,PLC Jig,SWC RH
164D Line,Side Member RH/ LH,Pneumatic,SWA LH
164D Line,Side Member RH/ LH,Pneumatic,SRB LH
164D Line,Side Member RH/ LH,Pneumatic,SRA LH
164D Line,Side Member RH/ LH,Pneumatic,SCA LH
164D Line,Side Member RH/ LH,Pneumatic,STA LH
164D Line,Side Member RH/ LH,Pneumatic,SOA LH
164D Line,Side Member RH/ LH,Pneumatic,SOA RH
164D Line,Side Member RH/ LH,Pneumatic,SCA RH
164D Line,Side Member RH/ LH,Pneumatic,SWA RH
164D Line,Side Member RH/ LH,Pneumatic,SRA RH
164D Line,Side Member RH/ LH,Sealer Pump,SP 3
164D Line,Side Member RH/ LH,Spot Welding System,PSWS 69
164D Line,Side Member RH/ LH,Spot Welding System,PSWS 70
164D Line,Side Member RH/ LH,Spot Welding System,PSWS 71
164D Line,Side Member RH/ LH,Spot Welding System,PSWS 72
164D Line,Side Member RH/ LH,Spot Welding System,PSWS 73
164D Line,Side Member RH/ LH,Spot Welding System,PSWS 74
164D Line,Side Member RH/ LH,Spot Welding System,PSWS 75
164D Line,Side Member RH/ LH,Spot Welding System,PSWS 76
164D Line,Side Member RH/ LH,Spot Welding System,PSWS 77
164D Line,Side Member RH/ LH,Spot Welding System,PSWS 78
164D Line,Side Member RH/ LH,Spot Welding System,PSWS 79
164D Line,Side Member RH/ LH,Spot Welding System,PSWS 80
164D Line,Side Member RH/ LH,Spot Welding System,PSWS 81
164D Line,Side Member RH/ LH,Spot Welding System,PSWS 82
164D Line,Side Member RH/ LH,Spot Welding System,PSWS 83
164D Line,Side Member RH/ LH,Spot Welding System,PSWS 84
164D Line,Side Member RH/ LH,Spot Welding System,PSWS 85
164D Line,Side Member RH/ LH,Spot Welding System,PSWS 86
164D Line,Side Member RH/ LH,Spot Welding System,PSWS 87
164D Line,Side Member RH/ LH,Spot Welding System,PSWS 88
164D Line,Side Member RH/ LH,Spot Welding System,PSWS 89
164D Line,Side Member RH/ LH,Spot Welding System,PSWS 90
164D Line,Side Member RH/ LH,Spot Welding System,PSWS 91
164D Line,Side Member RH/ LH,Spot Welding System,PSWS 92
164D Line,Side Member RH/ LH,Spot Welding System,PSWS 93
164D Line,Side Member RH/ LH,Spot Welding System,PSWS 94
164D Line,Side Member RH/ LH,Spot Welding System,PSWS 95
164D Line,Side Member RH/ LH,Spot Welding System,PSWS 96
164D Line,Side Member RH/ LH,SSW,SSW 5
164D Line,Side Member RH/ LH,SSW,SSW 6
164D Line,Side Member RH/ LH,SSW,SSW 7
164D Line,Side Member RH/ LH,Stud Welder,SW 5
164D Line,Side Member RH/ LH,Stud Welder,SW 6
164D Line,Side Member RH/ LH,Other,Other
164D Line,Under Body,CO2,CO2# 1
164D Line,Under Body,CO2,CO2# 2
164D Line,Under Body,Hoist,Hoist 1
164D Line,Under Body,Hoist,Hoist 2
164D Line,Under Body,Hoist,Hoist 3
164D Line,Under Body,Hoist,Hoist 4
164D Line,Under Body,Hoist,Hoist 5
164D Line,Under Body,Hoist,Hoist 6
164D Line,Under Body,Manual Jig,UFH RH
164D Line,Under Body,Manual Jig,UFH LH
164D Line,Under Body,Manual Jig,UFC-1
164D Line,Under Body,PLC Jig,UMB RH
164D Line,Under Body,PLC Jig,UAB RH
164D Line,Under Body,PLC Jig,EUEA
164D Line,Under Body,PLC Jig,UMB LH
164D Line,Under Body,Number Punching Machine,Number Punching
164D Line,Under Body,PLC Jig,UFB RH
164D Line,Under Body,PLC Jig,UFB LH
164D Line,Under Body,Pneumatic Jig,UEA RH
164D Line,Under Body,Pneumatic Jig,UMA 
164D Line,Under Body,Pneumatic Jig,UAB-A RH
164D Line,Under Body,Pneumatic Jig,UAA RH
164D Line,Under Body,Pneumatic Jig,UAC RH
164D Line,Under Body,Pneumatic Jig,UAD RH
164D Line,Under Body,Pneumatic Jig,URB/ URC
164D Line,Under Body,Pneumatic Jig,URA
164D Line,Under Body,Pneumatic Jig,UAA LH
164D Line,Under Body,Pneumatic Jig,UMA 
164D Line,Under Body,Pneumatic Jig,UAE LH
164D Line,Under Body,Pneumatic Jig,UAB LH
164D Line,Under Body,Pneumatic Jig,UAB-A LH
164D Line,Under Body,Pneumatic Jig,UAD LH
164D Line,Under Body,Pneumatic Jig,UAC LH
164D Line,Under Body,Pneumatic Jig,UDB
164D Line,Under Body,Pneumatic Jig,UDC
164D Line,Under Body,Pneumatic Jig,UDA
164D Line,Under Body,Pneumatic Jig,UFD RH
164D Line,Under Body,Pneumatic Jig,UFF RH
164D Line,Under Body,Pneumatic Jig,UFA RH
164D Line,Under Body,Pneumatic Jig,UFF LH
164D Line,Under Body,Pneumatic Jig,UFD LH
164D Line,Under Body,Pneumatic Jig,UFC
164D Line,Under Body,Spot Welding System,PSWS # 1
164D Line,Under Body,Spot Welding System,PSWS # 2
164D Line,Under Body,Spot Welding System,PSWS # 3
164D Line,Under Body,Spot Welding System,PSWS # 4
164D Line,Under Body,Spot Welding System,PSWS # 5
164D Line,Under Body,Spot Welding System,PSWS # 6
164D Line,Under Body,Spot Welding System,PSWS # 7
164D Line,Under Body,Spot Welding System,PSWS # 8
164D Line,Under Body,Spot Welding System,PSWS # 9
164D Line,Under Body,Spot Welding System,PSWS # 10
164D Line,Under Body,Spot Welding System,PSWS # 11
164D Line,Under Body,Spot Welding System,PSWS # 12
164D Line,Under Body,Spot Welding System,PSWS # 13
164D Line,Under Body,Spot Welding System,PSWS # 14
164D Line,Under Body,Spot Welding System,PSWS # 15
164D Line,Under Body,Spot Welding System,PSWS # 16
164D Line,Under Body,Spot Welding System,PSWS # 17
164D Line,Under Body,Spot Welding System,PSWS # 18
164D Line,Under Body,Spot Welding System,PSWS # 19
164D Line,Under Body,Spot Welding System,PSWS # 20
164D Line,Under Body,Spot Welding System,PSWS # 21
164D Line,Under Body,Spot Welding System,PSWS # 22
164D Line,Under Body,Spot Welding System,PSWS # 23
164D Line,Under Body,Spot Welding System,PSWS # 24
164D Line,Under Body,Spot Welding System,PSWS # 25
164D Line,Under Body,Spot Welding System,PSWS # 26
164D Line,Under Body,Spot Welding System,PSWS # 27
164D Line,Under Body,Spot Welding System,PSWS # 28
164D Line,Under Body,Spot Welding System,PSWS # 29
164D Line,Under Body,Spot Welding System,PSWS # 30
164D Line,Under Body,Spot Welding System,PSWS # 31
164D Line,Under Body,Spot Welding System,PSWS # 32
164D Line,Under Body,Spot Welding System,PSWS # 33
164D Line,Under Body,Spot Welding System,PSWS # 34
164D Line,Under Body,Spot Welding System,PSWS # 35
164D Line,Under Body,Spot Welding System,PSWS # 36
164D Line,Under Body,Spot Welding System,PSWS # 37
164D Line,Under Body,Spot Welding System,PSWS # 38
164D Line,Under Body,Spot Welding System,PSWS # 39
164D Line,Under Body,Spot Welding System,PSWS # 40
164D Line,Under Body,Spot Welding System,PSWS # 41
164D Line,Under Body,Spot Welding System,PSWS # 42
164D Line,Under Body,Spot Welding System,PSWS # 43
164D Line,Under Body,SSW,SSW # 1
164D Line,Under Body,SSW,SSW # 2
164D Line,Under Body,SSW,SSW # 3
164D Line,Under Body,SSW,SSW # 4
164D Line,Under Body,SSW,SSW # 5
164D Line,Under Body,SSW,SSW # 6
164D Line,Under Body,SSW,SSW # 7
164D Line,Under Body,Stud Welder,SW 1
164D Line,Under Body,Stud Welder,SW 2
164D Line,Under Body,Stud Welder,SW 3
164D Line,Under Body,Auto Stud,Auto Stud
164D Line,Under Body,Other,Other
164D Line,Under Rear,Hoist,H 7
164D Line,Under Rear,Hoist,H 8
164D Line,Under Rear,Hoist,H 9
164D Line,Under Rear,Hoist,H 10
164D Line,Under Rear,Under Rear Robot,Under Rear Robot (URT1-1)
